chapter,section,label,sheet
F1 SC Chp 3 Homeostasis,A,Human,F1 SC Chp 3 A.csv
F1 SC Chp 3 Animal & Plant,A,Animal,F1 SC Chp 3 B.csv
F1 SC Chp 3 Animal & Plant,B,Plant,F1 SC Chp 3 C.csv
F1 SC Chp 8 8.1 镜子,A,The Use of Mirrors,F1 SC Chp 8 8.1.csv
F1 SC Chp 8 8.2 光的特征,A,Properties of Light,F1 SC Chp 8 8.2.csv
F1 SC Chp 8 8.3 光的反射,A,Reflection of Light,F1 SC Chp 8 8.3.csv
F1 SC Chp 8 8.4 光的折射,A,Refraction of Light,F1 SC Chp 8 8.4.csv
F1 SC Chp 8 8.5 光的色散,A,Dispersion of Light,F1 SC Chp 8 8.5.csv
F1 SC Chp 8 8.6 光的散射,A,Scattering of Light,F1 SC Chp 8 8.6.csv
F1 SC Chp 8 8.7 光的加法,A,Addition of Light,F1 SC Chp 8 8.7 A.csv
F1 SC Chp 8 8.7 光的减法,A,Subtraction of Light,F1 SC Chp 8 8.7 B.csv
F1 SC Chp 5 5.1 物质,A,Matter in Nature,F1 SC Chp 5 5.1.csv
F1 SC Chp 5 5.2 物质特征,A,Three States of Matter,F1 SC Chp 5 5.2 A.csv
F1 SC Chp 5 5.2 固液气,A,The effect of heat on matter,F1 SC Chp 5 5.2 B.csv
F1 SC Chp 6 6.1 元素-原子&分子,A,Atom and Molecule,F1 SC Chp 6 6.1 A.csv
F1 SC Chp 6 6.1 元素&化合物,A,Element and Compound,F1 SC Chp 6 6.1 B.csv
F1 SC Chp 6 6.1 金属&非金属,A,Metal and Non-metal,F1 SC Chp 6 6.1 C.csv
F1 SC Chp 6 6.2 混合物,A,Mixture / Campuran,F1 SC Chp 6 6.2.csv
F1 SC Chp 6 6.3 化合物,A,Compound / Sebatian,F1 SC Chp 6 6.3 A.csv
F1 SC Chp 6 6.3 变化,A,Physical Change and Chemical Change,F1 SC Chp 6 6.3 B.csv
F1 SC Chp 7 7.1 空气成分,A,Composition of air,F1 SC Chp 7 7.1.csv
F1 SC Chp 7 7.2 燃烧,A,Combustion,F1 SC Chp 7 7.2.csv
F1 SC Chp 7 7.2 空气污染,A,Air pollution,F1 SC Chp 7 7.3.csv
