title,type,question,A,B,C,D,E,F,G,answer,image
SI Unit,radio,Length / Panjang 的 S.I. unit 是,metre / meter,kilogram,second / saat,kelvin,ampere,,,A,
,radio,Mass / Jisim 的 S.I. unit 是,metre / meter,kilogram,second / saat,kelvin,ampere,,,B,
,radio,Time / Masa 的 S.I. unit 是,metre / meter,kilogram,second / saat,kelvin,ampere,,,C,
,radio,Temperature / Suhu 的 S.I. unit 是,metre / meter,kilogram,second / saat,kelvin,ampere,,,D,
,radio,Electric current / Arus elektrik 的 S.I. unit 是,metre / meter,kilogram,second / saat,kelvin,ampere,,,E,
,text,metre / meter 的 symbol / simbol 是,,,,,,,,m,
,text,kilogram 的 symbol / simbol 是,,,,,,,,kg,
,text,second / saat 的 symbol / simbol 是,,,,,,,,s,
,text,kelvin 的 symbol / simbol 是,,,,,,,,K,
,text,ampere 的 symbol / simbol 是,,,,,,,,A,
