title,type,question,A,B,C,D,E,F,G,H,I,answer,image
Steps,radio,第1个步骤：确认问题,Identify a problem / Mengenal pasti masalah,Construct a hypothesis / Membina hipotesis,Control variables / Mengawal pemboleh ubah,Plan an experiment / Merancang eksperimen,Conduct the experiment / Menjalankan eksperimen,Collect data / Mengumpul data,Analyse and interpret data / Menganalisis dan mentafsirkan data,Make a conclusion / Membuat kesimpulan,Write a report / Menulis laporan,A,
,radio,第2个步骤：做假设,Identify a problem / Mengenal pasti masalah,Construct a hypothesis / Membina hipotesis,Control variables / Mengawal pemboleh ubah,Plan an experiment / Merancang eksperimen,Conduct the experiment / Menjalankan eksperimen,Collect data / Mengumpul data,Analyse and interpret data / Menganalisis dan mentafsirkan data,Make a conclusion / Membuat kesimpulan,Write a report / Menulis laporan,B,
,radio,第3个步骤：控制变数,Identify a problem / Mengenal pasti masalah,Construct a hypothesis / Membina hipotesis,Control variables / Mengawal pemboleh ubah,Plan an experiment / Merancang eksperimen,Conduct the experiment / Menjalankan eksperimen,Collect data / Mengumpul data,Analyse and interpret data / Menganalisis dan mentafsirkan data,Make a conclusion / Membuat kesimpulan,Write a report / Menulis laporan,C,
,radio,第4个步骤：计划实验,Identify a problem / Mengenal pasti masalah,Construct a hypothesis / Membina hipotesis,Control variables / Mengawal pemboleh ubah,Plan an experiment / Merancang eksperimen,Conduct the experiment / Menjalankan eksperimen,Collect data / Mengumpul data,Analyse and interpret data / Menganalisis dan mentafsirkan data,Make a conclusion / Membuat kesimpulan,Write a report / Menulis laporan,D,
,radio,第5个步骤：进行实验,Identify a problem / Mengenal pasti masalah,Construct a hypothesis / Membina hipotesis,Control variables / Mengawal pemboleh ubah,Plan an experiment / Merancang eksperimen,Conduct the experiment / Menjalankan eksperimen,Collect data / Mengumpul data,Analyse and interpret data / Menganalisis dan mentafsirkan data,Make a conclusion / Membuat kesimpulan,Write a report / Menulis laporan,E,
,radio,第6个步骤：收集数据,Identify a problem / Mengenal pasti masalah,Construct a hypothesis / Membina hipotesis,Control variables / Mengawal pemboleh ubah,Plan an experiment / Merancang eksperimen,Conduct the experiment / Menjalankan eksperimen,Collect data / Mengumpul data,Analyse and interpret data / Menganalisis dan mentafsirkan data,Make a conclusion / Membuat kesimpulan,Write a report / Menulis laporan,F,
,radio,第7个步骤：分析并诠释数据,Identify a problem / Mengenal pasti masalah,Construct a hypothesis / Membina hipotesis,Control variables / Mengawal pemboleh ubah,Plan an experiment / Merancang eksperimen,Conduct the experiment / Menjalankan eksperimen,Collect data / Mengumpul data,Analyse and interpret data / Menganalisis dan mentafsirkan data,Make a conclusion / Membuat kesimpulan,Write a report / Menulis laporan,G,
,radio,第8个步骤：做结论,Identify a problem / Mengenal pasti masalah,Construct a hypothesis / Membina hipotesis,Control variables / Mengawal pemboleh ubah,Plan an experiment / Merancang eksperimen,Conduct the experiment / Menjalankan eksperimen,Collect data / Mengumpul data,Analyse and interpret data / Menganalisis dan mentafsirkan data,Make a conclusion / Membuat kesimpulan,Write a report / Menulis laporan,H,
,radio,第9个步骤：写报告,Identify a problem / Mengenal pasti masalah,Construct a hypothesis / Membina hipotesis,Control variables / Mengawal pemboleh ubah,Plan an experiment / Merancang eksperimen,Conduct the experiment / Menjalankan eksperimen,Collect data / Mengumpul data,Analyse and interpret data / Menganalisis dan mentafsirkan data,Make a conclusion / Membuat kesimpulan,Write a report / Menulis laporan,I,
,radio,操纵性变数,manipulated variable / pemboleh ubah dimanipulasikan,responding variable / pemboleh ubah bergerak balas,constant variable / pemboleh ubah dimalarkan,,,,,,,A,
,radio,反应性变数,manipulated variable / pemboleh ubah dimanipulasikan,responding variable / pemboleh ubah bergerak balas,constant variable / pemboleh ubah dimalarkan,,,,,,,B,
,radio,固定性变数,manipulated variable / pemboleh ubah dimanipulasikan,responding variable / pemboleh ubah bergerak balas,constant variable / pemboleh ubah dimalarkan,,,,,,,C,
