title,type,question,A,B,C,D,E,F,G,answer,image
Animal cells and Plant cells,checkbox,Animal cell / Sel Haiwan 有,Nucleus / Nukleus,Cell wall / Dinding sel,Cytoplasm / Sitoplasma,Vacuole / Vakuol,Mitochondria / Mitokondria,Cell membrane / Membran sel,Chloroplast / Kloroplas,"A,C,E,F",
,checkbox,哪些是只有 Plant cell / Sel tumbuhan 才有的,Nucleus / Nukleus,Cell wall / Dinding sel,Cytoplasm / Sitoplasma,Vacuole / Vakuol,Mitochondria / Mitokondria,Cell membrane / Membran sel,Chloroplast / Kloroplas,"B,D,G",
,radio,Controls all activities in the cell / Mengawal keseluruhan aktiviti sel,Nucleus / Nukleus,Cell wall / Dinding sel,Cytoplasm / Sitoplasma,Vacuole / Vakuol,Mitochondria / Mitokondria,Cell membrane / Membran sel,Chloroplast / Kloroplas,A,
,radio,Contains chromosomes that carries genetic information / Mengandungi kromosom yang membawa maklumat genetik,Nucleus / Nukleus,Cell wall / Dinding sel,Cytoplasm / Sitoplasma,Vacuole / Vakuol,Mitochondria / Mitokondria,Cell membrane / Membran sel,Chloroplast / Kloroplas,A,
,radio,"Provides support, protection and fixed shape to the cell / Memberikan sokongan, perlindungan dan bentuk yang tetap kepada sel",Nucleus / Nukleus,Cell wall / Dinding sel,Cytoplasm / Sitoplasma,Vacuole / Vakuol,Mitochondria / Mitokondria,Cell membrane / Membran sel,Chloroplast / Kloroplas,B,
,radio,Acts as a medium where chemical reactions occur / Bertindak sebagai medium tindak balas kimia berlaku,Nucleus / Nukleus,Cell wall / Dinding sel,Cytoplasm / Sitoplasma,Vacuole / Vakuol,Mitochondria / Mitokondria,Cell membrane / Membran sel,Chloroplast / Kloroplas,C,
,radio,Provides support to cells when filled with cell sap / Memberikan sokongan kepada sel apabila dipenuhi sap sel,Nucleus / Nukleus,Cell wall / Dinding sel,Cytoplasm / Sitoplasma,Vacuole / Vakuol,Mitochondria / Mitokondria,Cell membrane / Membran sel,Chloroplast / Kloroplas,D,
,radio,Produces energy for reactions / Menghasilkan tenaga untuk tindak balas,Nucleus / Nukleus,Cell wall / Dinding sel,Cytoplasm / Sitoplasma,Vacuole / Vakuol,Mitochondria / Mitokondria,Cell membrane / Membran sel,Chloroplast / Kloroplas,E,
,radio,Controls the flow of materials in and out of the cell / Mengawal pergerakan bahan ke dalam dan ke luar sel,Nucleus / Nukleus,Cell wall / Dinding sel,Cytoplasm / Sitoplasma,Vacuole / Vakuol,Mitochondria / Mitokondria,Cell membrane / Membran sel,Chloroplast / Kloroplas,F,
,radio,Absorbs light energy for the process of photosynthesis / Menyerap tenaga cahaya untuk proses fotosintesis,Nucleus / Nukleus,Cell wall / Dinding sel,Cytoplasm / Sitoplasma,Vacuole / Vakuol,Mitochondria / Mitokondria,Cell membrane / Membran sel,Chloroplast / Kloroplas,G,
