title,type,question,A,B,C,D,E,F,G,answer,image
Animal cells and Plant cells Example,radio,这是,Epithelium cells / Sel epitelium,Nerve cells / Sel saraf,Red blood cells / Sel darah merah,Muscle cells / Sel otot,Reproductive cell - Ovum / Sel pembiakan - Ovum,Reproductive cell - Sperm / Sel pembiakan - Sperma,White blood cells / Sel darah putih,C,red_blood_cell.png
,radio,这是,Epithelium cells / Sel epitelium,Nerve cells / Sel saraf,Red blood cells / Sel darah merah,Muscle cells / Sel otot,Reproductive cell - Ovum / Sel pembiakan - Ovum,Reproductive cell - Sperm / Sel pembiakan - Sperma,White blood cells / Sel darah putih,A,epithelium_cell.png
,radio,这是,Epithelium cells / Sel epitelium,Nerve cells / Sel saraf,Red blood cells / Sel darah merah,Muscle cells / Sel otot,Reproductive cell - Ovum / Sel pembiakan - Ovum,Reproductive cell - Sperm / Sel pembiakan - Sperma,White blood cells / Sel darah putih,B,nerve_cell.png
,radio,这是,Epithelium cells / Sel epitelium,Nerve cells / Sel saraf,Red blood cells / Sel darah merah,Muscle cells / Sel otot,Reproductive cell - Ovum / Sel pembiakan - Ovum,Reproductive cell - Sperm / Sel pembiakan - Sperma,White blood cells / Sel darah putih,D,muscle_cell.png
,radio,这是,Epithelium cells / Sel epitelium,Nerve cells / Sel saraf,Red blood cells / Sel darah merah,Muscle cells / Sel otot,Reproductive cell - Ovum / Sel pembiakan - Ovum,Reproductive cell - Sperm / Sel pembiakan - Sperma,White blood cells / Sel darah putih,E,ovum.png
,radio,这是,Epithelium cells / Sel epitelium,Nerve cells / Sel saraf,Red blood cells / Sel darah merah,Muscle cells / Sel otot,Reproductive cell - Ovum / Sel pembiakan - Ovum,Reproductive cell - Sperm / Sel pembiakan - Sperma,White blood cells / Sel darah putih,F,sperm.png
,radio,这是,Epithelium cells / Sel epitelium,Nerve cells / Sel saraf,Red blood cells / Sel darah merah,Muscle cells / Sel otot,Reproductive cell - Ovum / Sel pembiakan - Ovum,Reproductive cell - Sperm / Sel pembiakan - Sperma,White blood cells / Sel darah putih,G,white_blood_cell.png
,radio,这是,Epidermal cells / Sel epidermis,Palisade cells / Sel palisad,Guard cells / Sel pengawal,Root hair cells / Sel rerambut akar,,,,A,epidermal_cell.png
,radio,这是,Epidermal cells / Sel epidermis,Palisade cells / Sel palisad,Guard cells / Sel pengawal,Root hair cells / Sel rerambut akar,,,,B,palisade_cell.png
,radio,这是,Epidermal cells / Sel epidermis,Palisade cells / Sel palisad,Guard cells / Sel pengawal,Root hair cells / Sel rerambut akar,,,,C,guard_cell.png
,radio,这是,Epidermal cells / Sel epidermis,Palisade cells / Sel palisad,Guard cells / Sel pengawal,Root hair cells / Sel rerambut akar,,,,D,root_hair_cell.png
