title,type,question,A,B,answer,image
分类单细胞与多细胞生物,radio,这属于,unicellular / unisel,multicellular / multisel,A,yeast.png
,radio,这属于,unicellular / unisel,multicellular / multisel,B,mucor.png
,radio,这属于,unicellular / unisel,multicellular / multisel,B,spirogyra.png
,radio,这属于,unicellular / unisel,multicellular / multisel,B,hydra.png
,radio,这属于,unicellular / unisel,multicellular / multisel,A,paramecium.png
,radio,这属于,unicellular / unisel,multicellular / multisel,A,amoeba.png
,radio,这属于,unicellular / unisel,multicellular / multisel,A,euglena.png
,radio,这属于,unicellular / unisel,multicellular / multisel,A,chlamydomonas.png
,radio,这属于,unicellular / unisel,multicellular / multisel,B,hexun.jpg
,radio,这属于,unicellular / unisel,multicellular / multisel,B,tudou.jpeg


