title,type,question,A,B,C,D,answer,image
呼吸与光合作用,radio,Cell Respiration / Respirasi Sel,"Glucose + Oxygen → Carbon dioxide + Water + Energy / 
Glukosa + Oksigen → Karbon dioksida + Air + Tenaga","Carbon dioxide + Water + Sunlight + Chlorophyll → Glucose + Oxygen / 
Karbon dioksida + Air + Cahaya Matahari + Klorofil → Glukosa + Oksigen","Carbon dioxide + Water + Heat energy + Chlorophyll → Glucose + Oxygen / 
Karbon dioksida + Air + Tenaga haba + Klorofil → Glukosa + Oksigen","Glucose + Carbon dioxide → Oxygen + Water + Energy / 
Glukosa + Karbon dioksida → Oksigen + Air + Tenaga",A,
,radio,Photosynthesis / Fotosintesis,"Glucose + Oxygen → Carbon dioxide + Water + Energy / 
Glukosa + Oksigen → Karbon dioksida + Air + Tenaga","Carbon dioxide + Water + Sunlight + Chlorophyll → Glucose + Oxygen / 
Karbon dioksida + Air + Cahaya Matahari + Klorofil → Glukosa + Oksigen","Carbon dioxide + Water + Heat energy + Chlorophyll → Glucose + Oxygen / 
Karbon dioksida + Air + Tenaga haba + Klorofil → Glukosa + Oksigen","Glucose + Carbon dioxide → Oxygen + Water + Energy / 
Glukosa + Karbon dioksida → Oksigen + Air + Tenaga",B,
,radio,Occurs in mitochondria / Berlaku dalam mitokondria,Cell Respiration / Respirasi Sel,Photosynthesis / Fotosintesis,,,A,
,radio,Occurs in chloroplast / Berlaku dalam kloroplas,Cell Respiration / Respirasi Sel,Photosynthesis / Fotosintesis,,,B,
,radio,Process to absorb energy / Proses yang menyerap tenaga,Cell Respiration / Respirasi Sel,Photosynthesis / Fotosintesis,,,B,
,radio,Process to release energy / Proses yang membebaskan tenaga,Cell Respiration / Respirasi Sel,Photosynthesis / Fotosintesis,,,A,
,radio,Uses chemical energy in food / Menggunakan tenaga kimia dalam makanan,Cell Respiration / Respirasi Sel,Photosynthesis / Fotosintesis,,,A,
,radio,"Occurs in humans, animals, plants and microorganisms / Berlaku pada manusia, haiwan, tumbuhan dan mikroorganisma",Cell Respiration / Respirasi Sel,Photosynthesis / Fotosintesis,,,A,
,radio,Breaks down glucose to produce energy / Menguraikan glukosa untuk penghasilan tenaga,Cell Respiration / Respirasi Sel,Photosynthesis / Fotosintesis,,,A,
,radio,"Uses glucose and oxygen to produce carbon dioxide, water and energy / Menggunakan oksigen dan glukosa untuk menghasilkan karbon dioksida, air dan tenaga",Cell Respiration / Respirasi Sel,Photosynthesis / Fotosintesis,,,A,
,radio,Occurs at all times / Sentiasa berlaku,Cell Respiration / Respirasi Sel,Photosynthesis / Fotosintesis,,,A,
,radio,Uses energy from light / Menggunakan tenaga daripada cahaya matahari,Cell Respiration / Respirasi Sel,Photosynthesis / Fotosintesis,,,B,
,radio,Occurs in plants and microorganisms / Berlaku pada tumbuhan dan mikroorganisma,Cell Respiration / Respirasi Sel,Photosynthesis / Fotosintesis,,,B,
,radio,Synthesises glucose / Mensintesis glukosa,Cell Respiration / Respirasi Sel,Photosynthesis / Fotosintesis,,,B,
,radio,Uses carbon dioxide and water to produce oxygen and glucose / Menggunakan karbon dioksida dan air untuk menghasilkan oksigen dan glukosa,Cell Respiration / Respirasi Sel,Photosynthesis / Fotosintesis,,,B,
,radio,Occurs only in the presence of light / Berlaku ketika ada cahaya,Cell Respiration / Respirasi Sel,Photosynthesis / Fotosintesis,,,B,
