title,type,question,A,B,C,D,answer,image
Homeostasis in human,radio,water level increase / aras air meningkat,More urine is produced / Lebih banyak air kencing dihasilkan,Less urine is produced / Lebih kurang air kencing dihasilkan,,,A,
,radio,water level decrease / aras air menurun,More urine is produced / Lebih banyak air kencing dihasilkan,Less urine is produced / Lebih kurang air kencing dihasilkan,,,B,
,radio,body temperature increase / suhu badan meningkat,Blood vessels dilate / Salur darah mengembang,Blood vessels constrict / Salur darah mengecut,,,A,
,radio,body temperature decrease / suhu badan menurun,Blood vessels dilate / Salur darah mengembang,Blood vessels constrict / Salur darah mengecut,,,B,
,radio,body temperature decrease / suhu badan menurun,Hairs lie flat / Bulu roma condong,Hairs stand erect / Bulu roma menegak,,,B,
,radio,body temperature increase / suhu badan meningkat,Hairs lie flat / Bulu roma condong,Hairs stand erect / Bulu roma menegak,,,A,
,radio,body temperature increase / suhu badan meningkat,Increase sweating / Berpeluh,Decrease sweating / Kurang berpeluh,,,A,
,radio,body temperature decrease / suhu badan menurun,Increase sweating / Berpeluh,Decrease sweating / Kurang berpeluh,,,B,
,radio,body temperature increase / suhu badan meningkat,Less urine / Air kencing sedikit,More urine / Air kencing lebih banyak,,,A,
,radio,body temperature decrease / suhu badan menurun,Less urine / Air kencing sedikit,More urine / Air kencing lebih banyak,,,B,
,radio,body temperature decrease / suhu badan menurun,Activity of the skeletal muscles and certain hormone secretion will reduce / Aktiviti otot rangka dan perembesan hormon-hormon tertentu akan berkurangan,Skeletal muscles will contract and relax actively and it will cause an individual to shiver / Otot rangka akan mengecut dan mengendur secara aktif dan menyebabkan seseorang menggigil,,,B,
,radio,body temperature increase / suhu badan meningkat,Activity of the skeletal muscles and certain hormone secretion will reduce / Aktiviti otot rangka dan perembesan hormon-hormon tertentu akan berkurangan,Skeletal muscles will contract and relax actively and it will cause an individual to shiver / Otot rangka akan mengecut dan mengendur secara aktif dan menyebabkan seseorang menggigil,,,A,
