title,type,question,A,B,C,D,E,F,answer,image
分类 Element & Compound,radio,Zinc / Zink 属于,Element / Unsur,Compound / Sebatian,,,,,A,
,radio,Calcium / Kalsium 属于,Element / Unsur,Compound / Sebatian,,,,,A,
,radio,Sodium / Natrium 属于,Element / Unsur,Compound / Sebatian,,,,,A,
,radio,Chlorine / Klorin 属于,Element / Unsur,Compound / Sebatian,,,,,A,
,radio,Oxygen / Oksigen 属于,Element / Unsur,Compound / Sebatian,,,,,A,
,radio,Hydrogen / Hidrogen 属于,Element / Unsur,Compound / Sebatian,,,,,A,
,radio,Iron / Besi 属于,Element / Unsur,Compound / Sebatian,,,,,A,
,radio,Carbon / Karbon 属于,Element / Unsur,Compound / Sebatian,,,,,A,
,radio,Salt / Garam 属于,Element / Unsur,Compound / Sebatian,,,,,B,
,radio,Sugar / Gula 属于,Element / Unsur,Compound / Sebatian,,,,,B,
,radio,Shell / Cengkerang 属于,Element / Unsur,Compound / Sebatian,,,,,B,
,radio,Water / Air 属于,Element / Unsur,Compound / Sebatian,,,,,B,
,radio,Sodium Chloride / Natrium Klorida 属于,Element / Unsur,Compound / Sebatian,,,,,B,
