title,type,question,A,B,answer,image
Compound / Sebatian,text,"Magnesium + Oxygen → 
Magnesium + Oksigen →",,,"magnesium oxide,magnesium oksida",
,text,"Aluminium + Oxygen → 
Aluminium + Oksigen →",,,"aluminium oxide,aluminium oksida",
,text,"Zinc + Oxygen → 
Zink + Oksigen →",,,"zinc oxide,zink oksida",
,text,"Iron + Oxygen → 
Besi + Oksigen →",,,"iron oxide,besi oksida",
,text,"Copper + Oxygen → 
Kuprum + Oksigen →",,,"copper oxide,kuprum oksida",
,text,"lithium + water → ? + hydrogen gas
litium + air → ? + gas hidrogen",,,"lithium hydroxide,litium hidroksida",
,text,"sodium + water → ? + hydrogen gas
natirum + air → ? + gas hidrogen",,,"sodium hydroxide,natirum hidroksida",
,text,"potassium + water → ? + hydrogen gas
kalium + air → ? + gas hidrogen",,,"potassium hydroxide,kalium hidroksida",
,text,"Iron + Sulphur → 
Besi + Sulfur →",,,"iron sulphide,besi sulfida",
,text,把水分开的化学方法是,,,"electrolysis,elektrolisis",
,radio,Oxygen / Oksigen 会出现在,anode / anod,cathode / katod,A,
,radio,Hydrogen / Hidrogen 会出现在,anode / anod,cathode / katod,B,
