title,type,question,A,B,C,D,E,F,G,H,answer,image
8.7 Subtraction of Light,radio,Red light / Cahaya merah 照在 Yellow / Kuning 的物体上会显示什么颜色？,Yellow / Kuning,Magenta,Cyan / Sian,White / Putih,Red / Merah,Green / Hijau,Blue / Biru,Black / Hitam,E,
,radio,Red light / Cahaya merah 照在 Magenta 的物体上会显示什么颜色？,Yellow / Kuning,Magenta,Cyan / Sian,White / Putih,Red / Merah,Green / Hijau,Blue / Biru,Black / Hitam,E,
,radio,Red light / Cahaya merah 照在 Cyan / Sian 的物体上会显示什么颜色？,Yellow / Kuning,Magenta,Cyan / Sian,White / Putih,Red / Merah,Green / Hijau,Blue / Biru,Black / Hitam,H,
,radio,Blue light / Cahaya Biru 照在 Cyan / Sian 的物体上会显示什么颜色？,Yellow / Kuning,Magenta,Cyan / Sian,White / Putih,Red / Merah,Green / Hijau,Blue / Biru,Black / Hitam,G,
,radio,Blue light / Cahaya Biru 照在 Yellow / Kuning 的物体上会显示什么颜色？,Yellow / Kuning,Magenta,Cyan / Sian,White / Putih,Red / Merah,Green / Hijau,Blue / Biru,Black / Hitam,H,
,radio,Blue light / Cahaya Biru 照在 Magenta 的物体上会显示什么颜色？,Yellow / Kuning,Magenta,Cyan / Sian,White / Putih,Red / Merah,Green / Hijau,Blue / Biru,Black / Hitam,G,
,radio,Green light / Cahaya Hijau 照在 Cyan / Sian 的物体上会显示什么颜色？,Yellow / Kuning,Magenta,Cyan / Sian,White / Putih,Red / Merah,Green / Hijau,Blue / Biru,Black / Hitam,F,
,radio,Green light / Cahaya Hijau 照在 Yellow / Kuning 的物体上会显示什么颜色？,Yellow / Kuning,Magenta,Cyan / Sian,White / Putih,Red / Merah,Green / Hijau,Blue / Biru,Black / Hitam,F,
,radio,Green light / Cahaya Hijau 照在 Magenta 的物体上会显示什么颜色？,Yellow / Kuning,Magenta,Cyan / Sian,White / Putih,Red / Merah,Green / Hijau,Blue / Biru,Black / Hitam,H,
,radio,Yellow light / Cahaya Kuning 照在 Magenta 的物体上会显示什么颜色？,Yellow / Kuning,Magenta,Cyan / Sian,White / Putih,Red / Merah,Green / Hijau,Blue / Biru,Black / Hitam,E,
,radio,Yellow light / Cahaya Kuning 照在 Yellow / Kuning 的物体上会显示什么颜色？,Yellow / Kuning,Magenta,Cyan / Sian,White / Putih,Red / Merah,Green / Hijau,Blue / Biru,Black / Hitam,A,
,radio,Yellow light / Cahaya Kuning 照在 Cyan / Sian 的物体上会显示什么颜色？,Yellow / Kuning,Magenta,Cyan / Sian,White / Putih,Red / Merah,Green / Hijau,Blue / Biru,Black / Hitam,F,
,radio,Magenta light / Cahaya Magenta 照在 Magenta 的物体上会显示什么颜色？,Yellow / Kuning,Magenta,Cyan / Sian,White / Putih,Red / Merah,Green / Hijau,Blue / Biru,Black / Hitam,B,
,radio,Magenta light / Cahaya Magenta 照在 Yellow / Kuning 的物体上会显示什么颜色？,Yellow / Kuning,Magenta,Cyan / Sian,White / Putih,Red / Merah,Green / Hijau,Blue / Biru,Black / Hitam,E,
,radio,Magenta light / Cahaya Magenta 照在 Cyan / Sian 的物体上会显示什么颜色？,Yellow / Kuning,Magenta,Cyan / Sian,White / Putih,Red / Merah,Green / Hijau,Blue / Biru,Black / Hitam,G,
,radio,Cyan light / Cahaya Sian 照在 Cyan / Sian 的物体上会显示什么颜色？,Yellow / Kuning,Magenta,Cyan / Sian,White / Putih,Red / Merah,Green / Hijau,Blue / Biru,Black / Hitam,C,
,radio,Cyan light / Cahaya Sian 照在 Yellow  / Kuning 的物体上会显示什么颜色？,Yellow / Kuning,Magenta,Cyan / Sian,White / Putih,Red / Merah,Green / Hijau,Blue / Biru,Black / Hitam,F,
,radio,Cyan light / Cahaya Sian 照在 Magenta 的物体上会显示什么颜色？,Yellow / Kuning,Magenta,Cyan / Sian,White / Putih,Red / Merah,Green / Hijau,Blue / Biru,Black / Hitam,G,
