title,type,question,A,B,C,D,E,F,G,H,answer,image
9.1,radio,"Water zone that includes rivers, lakes, seas and also water trapped as ice, underground water and water vapour in the atmosphere / Zon air yang merangkumi sungai, tasik, lautan dan juga air yang terperangkap sebagai ais, di bawah tanah dan wap air dalam atmosfera",Hydrosphere / Hidrosfera,Atmosphere / Atmosfera,Geosphere / Geosfera,Biosphere / Biosfera,,,,,A,
,radio,Air zone covering the Earth’s surface / Zon udara yang menyeliputi permukaan Bumi,Hydrosphere / Hidrosfera,Atmosphere / Atmosfera,Geosphere / Geosfera,Biosphere / Biosfera,,,,,B,
,radio,Rock and soil zone on the Earth’s surface / Zon batu dan tanah di atas permukaan Bumi,Hydrosphere / Hidrosfera,Atmosphere / Atmosfera,Geosphere / Geosfera,Biosphere / Biosfera,,,,,C,
,radio,"Life zone consists of a variety of life such as humans, animals, plants and microorganisms / Zon hidupan yang terdiri daripada beraneka hidupan seperti manusia, haiwan, tumbuh-tumbuhan dan hidupan seni",Hydrosphere / Hidrosfera,Atmosphere / Atmosfera,Geosphere / Geosfera,Biosphere / Biosfera,,,,,D,
,radio,有风，云，雨,Troposphere / Troposfera,Stratosphere / Stratosfera,Mesosphere / Mesosfera,Thermosphere / Termosfera,Exosphere / Eksosfera,,,,A,
,radio,有飞机,Troposphere / Troposfera,Stratosphere / Stratosfera,Mesosphere / Mesosfera,Thermosphere / Termosfera,Exosphere / Eksosfera,,,,B,
,radio,有 Ozone layer / Lapisan Ozon,Troposphere / Troposfera,Stratosphere / Stratosfera,Mesosphere / Mesosfera,Thermosphere / Termosfera,Exosphere / Eksosfera,,,,B,
,radio,有流星 Meteorite / Meteorit,Troposphere / Troposfera,Stratosphere / Stratosfera,Mesosphere / Mesosfera,Thermosphere / Termosfera,Exosphere / Eksosfera,,,,C,
,radio,Ionosphere / Ionosfera,Troposphere / Troposfera,Stratosphere / Stratosfera,Mesosphere / Mesosfera,Thermosphere / Termosfera,Exosphere / Eksosfera,,,,D,
,radio,有 Aurora,Troposphere / Troposfera,Stratosphere / Stratosfera,Mesosphere / Mesosfera,Thermosphere / Termosfera,Exosphere / Eksosfera,,,,D,
,radio,有 Satellite / Satelit,Troposphere / Troposfera,Stratosphere / Stratosfera,Mesosphere / Mesosfera,Thermosphere / Termosfera,Exosphere / Eksosfera,,,,E,
,radio,有植物,Surface zone / Zon permukaan,Midnight zone / Zon tengah malam,Dark zone / Zon gelap,,,,,,A,
,radio,the water is very shallow and light can penetrate / air adalah sangat cetek dan cahaya boleh bergerak menembusinya,Surface zone / Zon permukaan,Midnight zone / Zon tengah malam,Dark zone / Zon gelap,,,,,,A,
,radio,has little or no light / mempunyai sedikit cahaya atau tiada cahaya,Surface zone / Zon permukaan,Midnight zone / Zon tengah malam,Dark zone / Zon gelap,,,,,,B,
,radio,habitat for large marine animals / habitat untuk haiwan laut yang besar,Surface zone / Zon permukaan,Midnight zone / Zon tengah malam,Dark zone / Zon gelap,,,,,,B,
,radio,very deep and no light can reach it / tiada cahaya yang boleh sampai,Surface zone / Zon permukaan,Midnight zone / Zon tengah malam,Dark zone / Zon gelap,,,,,,C,
,radio,地球最外面，固体石头,Crust / Kerak,Mantle / Mantel,Outer core / Teras luar,Inner core / Teras dalam,,,,,A,
,radio,有 magma，液体石头,Crust / Kerak,Mantle / Mantel,Outer core / Teras luar,Inner core / Teras dalam,,,,,B,
,radio,流动的液体金属,Crust / Kerak,Mantle / Mantel,Outer core / Teras luar,Inner core / Teras dalam,,,,,C,
,radio,最热，压力最大，有固体金属,Crust / Kerak,Mantle / Mantel,Outer core / Teras luar,Inner core / Teras dalam,,,,,D,
,checkbox,为何地球适合生物生存？,The presence of water / Kehadiran air,Suitable temperature / Suhu yang sesuai,Contain oxygen / Mempunyai oksigen,Gold in the soil / Emas dalam tanah,Flat shape of Earth / Bentuk Bumi yang rata,Strong magnetic attraction to the Moon / Tarikan magnet yang kuat kepada Bulan,,,"A,B,C",
